imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
92147,Vamp,1986-07-18,1900000,4790926,93,5.9,39,4.119963,4753.0,34223.0,Comedy|Horror,Richard Wenk,19.0,4.0,23.0,N
246544,The Musketeer,2001-09-07,40000000,27053815,104,5.2,56,4.260945,4756.0,11370.0,Action|Adventure|Drama,Peter Hyams,7.0,4.0,11.0,N
202470,Rock Star,2001-09-04,57000000,16991902,105,6.0,194,10.076223,4757.0,12508.0,Comedy|Drama|Musical,Stephen Herek,7.0,9.0,16.0,N
242587,L.I.E.,2001-01-20,700000,1667192,97,6.7,31,8.66635,4765.0,18734.0,Drama,Michael Cuesta,4.0,4.0,8.0,N
221218,The Glass House,2001-09-14,30000000,23619609,106,5.4,203,6.418936,4770.0,2176.0,Thriller,Daniel Sackheim,6.0,17.0,23.0,0498348
180734,Hardball,2001-09-14,32000000,40222729,106,6.3,126,7.674549,4771.0,20857.0,Drama,Brian Robbins,11.0,3.0,14.0,N
246464,Big Trouble,2002-04-05,40000000,8493890,85,6.3,82,5.761051,4774.0,2185.0,Comedy,Barry Sonnenfeld,7.0,21.0,28.0,N
118589,Glitter,2001-09-21,22000000,5271666,104,3.4,38,5.420686,4775.0,10696.0,Drama|Musical,Vondie Curtis-Hall,48.0,6.0,54.0,N
139654,Training Day,2001-10-05,45000000,104876233,122,7.3,1665,13.664622,4776.0,2034.0,Drama|Thriller,Antoine Fuqua,161.0,20.0,181.0,4946972
239986,Sidewalks of New York,2001-11-23,1000000,2402459,107,5.6,16,2.678923,4782.0,31016.0,Comedy,Edward Burns,4.0,9.0,13.0,N
57193,"It's a Mad, Mad, Mad, Mad World",1963-11-07,9400000,60000000,163,7.0,142,13.266545,4799.0,11576.0,Action|Adventure|Comedy,Stanley Kramer,174.0,3.0,177.0,0936482|0070439|1083988|0845448|7639372
67588,Play Misty for Me,1971-11-03,725000,10600000,102,6.5,102,5.820841,4803.0,15393.0,Drama|Thriller,Clint Eastwood,79.0,1.0,80.0,N
55312,Pocketful of Miracles,1961-12-18,2900000,5000000,136,7.3,25,2.649605,4804.0,248.0,Comedy|Drama,Frank Capra,21.0,0.0,21.0,0098019|1146325
91993,SpaceCamp,1986-06-06,18000000,9697739,107,5.8,60,6.41742,4812.0,13766.0,Adventure|Sci-Fi,Harry Winer,22.0,2.0,24.0,N
260866,Don't Say a Word,2001-09-28,50000000,100020092,113,6.0,223,6.824871,4814.0,12103.0,Thriller,Gary Fleder,21.0,17.0,38.0,N
252501,Hearts in Atlantis,2001-09-07,31000000,24185781,101,6.5,132,6.425321,4815.0,11313.0,Drama,Scott Hicks,12.0,10.0,22.0,N
196229,Zoolander,2001-09-28,28000000,60780981,89,6.1,1363,10.40782,4816.0,9398.0,Comedy,Ben Stiller,193.0,54.0,247.0,1608290|0291853|0291852
206314,Joy Ride,2001-10-05,23000000,36642838,97,6.3,328,10.337689,4821.0,10866.0,Adventure|Thriller,John Dahl,10.0,15.0,25.0,1140941|3138376
273799,Max Keeble's Big Move,2001-10-05,12000000,17292381,86,5.4,33,2.828884,4822.0,34549.0,Comedy,Tim Hill,3.0,7.0,10.0,N
240890,Serendipity,2001-10-05,28000000,77516304,90,6.6,529,5.715737,4823.0,9778.0,Comedy,Peter Chelsom,29.0,11.0,40.0,0443331
80437,The Big Red One,1980-05-28,4500000,7206220,113,6.8,83,5.395103,4826.0,16121.0,Action|Adventure|Drama,Samuel Fuller,22.0,0.0,22.0,N
80549,Coal Miner's Daughter,1980-03-07,15000000,67182787,125,7.2,67,2.847277,4835.0,16769.0,Drama,Michael Apted,69.0,0.0,69.0,N
219965,Bandits,2001-10-12,75000000,67631903,123,6.2,307,13.136791,4844.0,3172.0,Comedy,Barry Levinson,9.0,8.0,17.0,N
250310,Corky Romano,2001-10-12,11000000,23978402,86,4.1,54,4.890067,4845.0,17708.0,Comedy,Rob Pritts,9.0,13.0,22.0,N
166924,Mulholland Drive,2001-05-16,15000000,20117339,147,7.7,1517,18.184056,4848.0,1018.0,Drama|Thriller,David Lynch,156.0,47.0,203.0,N
166110,Bones,2001-10-24,10000000,7316658,96,4.3,36,6.513545,4852.0,11380.0,Horror,Ernest R. Dickerson,10.0,22.0,32.0,N
66999,Dirty Harry,1971-12-21,4000000,35976000,102,7.4,630,10.255315,4855.0,984.0,Action|Thriller,Don Siegel,747.0,6.0,753.0,0070355|0074483|0086383|0094963|0230412|1575675
67093,Fiddler on the Roof,1971-11-03,9000000,83304330,181,7.4,136,9.227244,4857.0,14811.0,Drama|Musical,Norman Jewison,278.0,0.0,278.0,1240864
120681,From Hell,2001-10-19,35000000,74558115,122,6.6,758,7.79014,4865.0,768.0,Horror|Thriller,Albert Hughes,35.0,1.0,36.0,N
272020,The Last Castle,2001-10-19,72000000,27642707,131,7.0,290,9.807552,4866.0,2100.0,Action,Rod Lurie,12.0,2.0,14.0,N
200027,Riding in Cars with Boys,2001-10-19,48000000,35743308,132,6.5,108,4.556123,4867.0,11091.0,Comedy|Drama,Penny Marshall,12.0,7.0,19.0,N
272152,K-PAX,2001-10-22,48000000,50315140,120,7.1,710,12.400152,4874.0,167.0,Drama|Fantasy|Sci-Fi,Iain Softley,20.0,14.0,34.0,0091214
246578,Donnie Darko,2001-01-18,6000000,1270522,113,7.7,3574,18.303148,4878.0,141.0,Drama|Sci-Fi|Thriller,Richard Kelly,175.0,56.0,231.0,1231277
249478,Domestic Disturbance,2001-10-30,75000000,54249294,89,5.4,115,6.353996,4885.0,11456.0,Thriller,Harold Becker,4.0,2.0,6.0,N
198781,"Monsters, Inc.",2001-11-01,115000000,562816256,92,7.5,6150,26.419962,4886.0,585.0,Adventure|Animation|Comedy|Fantasy,Pete Docter,312.0,72.0,384.0,1453405|8610082
267804,The One,2001-11-02,49000000,72700000,87,5.7,445,9.769047,4887.0,10796.0,Action|Sci-Fi|Thriller,James Wong,30.0,5.0,35.0,N
275719,Tape,2001-01-26,100000,490475,86,6.9,63,3.580063,4888.0,23949.0,Drama,Richard Linklater,6.0,0.0,6.0,N
256380,Shallow Hal,2001-11-01,40000000,141069860,114,5.7,764,12.520688,4890.0,9889.0,Comedy|Fantasy,Bobby Farrelly,39.0,11.0,50.0,1584838
290332,The Wash,2001-11-16,7000000,10229331,93,5.3,26,2.483032,4895.0,13408.0,Comedy,DJ Pooh,3.0,3.0,6.0,N
241527,Harry Potter and the Philosopher's Stone,2001-11-16,125000000,976475550,152,7.5,7188,38.187238,4896.0,671.0,Adventure|Fantasy,Chris Columbus,672.0,9.0,681.0,0295297|0304141|0330373|0373889|0417741|0926084|1201607
234354,Novocaine,2001-11-23,6000000,2025238,95,6.0,44,3.916221,4898.0,20794.0,Comedy|Thriller,David Atkins,3.0,3.0,6.0,N
253798,Out Cold,2001-11-21,24000000,14782676,89,5.8,53,4.197544,4900.0,14369.0,Comedy,Brendan Malloy,2.0,9.0,11.0,N
266987,Spy Game,2001-11-18,92000000,143049560,126,6.8,592,18.186839,4901.0,1535.0,Action|Drama|Thriller,Tony Scott,20.0,8.0,28.0,N
256009,The Devil's Backbone,2001-04-20,4500000,6459020,106,7.2,277,11.111299,4902.0,1433.0,Drama|Fantasy|Horror|Thriller,Guillermo del Toro,22.0,6.0,28.0,N
62994,Funny Girl,1968-09-19,14000000,52223306,149,6.9,90,4.651946,4912.0,16085.0,Drama|Musical,William Wyler,109.0,0.0,109.0,0073026
