imdb_id,title,year,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
1596345,Pawn Sacrifice,2015,19.0,5.578519,115,6.7,272,7.399209,142507,245698.0,Drama,Edward Zwick,4,4,8,N,0.0003520990982271,5.837116023342196e-05
3072482,Hardcore Henry,2015,10.0,14.33379,97,6.2,780,14.544851999999999,142509,325348.0,Action|Adventure|Sci-Fi,Ilya Naishuller,19,17,36,N,0.0002073707785926,-0.0001895443255273
2503944,Burnt,2015,20.0,36.606743,100,6.3,974,8.066726,142536,295964.0,Drama,John Wells,13,4,17,N,0.0002690674975875,0.0001771817758175
2224317,Lootera,2013,4.1,4.300000000000002,136,6.6,27,1.296259,142677,205017.0,Drama,Vikramaditya Motwane,1,2,3,N,0.0003181881255997,-0.0002527441993216
3668162,Bangalore Days,2014,7.4,1.3,172,7.4,19,0.9555959999999999,142819,268660.0,Comedy|Drama,Anjali Menon,7,5,12,5328784,5.394624578471496e-05,0.0004298249301689
3517192,Ohm Shanthi Oshaana,2014,0.22,1.5,130,6.9,8,0.633359,142821,257160.0,Comedy,Jude Anthany Joseph,2,5,7,N,0.0004033233084239,-7.140347161980334e-05
0242256,Alaipayuthey,2000,2.0,6.0,156,6.7,6,0.570021,142827,49035.0,Drama,Mani Ratnam,11,0,11,0330843,-0.0003973666585073,0.0001397365121503
1180583,Vaaranam Aayiram,2008,3.0,14.0,169,7.5,13,0.5055890000000001,142839,38637.0,Comedy|Drama|Thriller,Gautham Vasudev Menon,9,1,10,N,-0.0002971598491983,0.0003001463147836
2510894,Hotel Transylvania 2,2015,80.0,473.226958,89,6.7,1528,11.760218,142997,159824.0,Animation|Comedy,Genndy Tartakovsky,30,9,39,5220122|9848626|0837562,4.680855148693955e-05,-0.00040341995041500003
0353496,Godfather,1991,0.018000000000000002,0.7,150,6.9,4,0.646227,143113,134474.0,Comedy|Drama,Lal,7,1,8,3886772|0437238,-0.0003023542426946,0.0002458629544437
0442781,Varalaru,2006,0.5,0.5,157,6.1,6,0.48252700000000004,143115,69407.0,Drama,K. S. Ravikumar,0,0,0,N,0.0003045712626867,-0.0002983912638034
1658801,Freeheld,2015,7.0,0.573335,103,7.1,168,4.955317,143237,306745.0,Drama,Peter Sollett,5,1,6,0914369,-0.0003764674496549,5.1234500788953584e-05
