imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
0106918,The Firm,1993,42.0,270.2483669999,154,6.6,513,9.678367,454,37233.0,Drama|Thriller,Sydney Pollack,56,2,58,N
0106965,Free Willy,1993,20.0,153.698625,112,6.0,429,5.990572,455,1634.0,Adventure|Drama,Simon Wincer,226,0,226,0113114|0119152|1394329
0106977,The Fugitive,1993,44.0,368.87576,130,7.2,1240,10.08937,457,5503.0,Thriller,Andrew Davis,305,4,309,0120873|0247097|1062355|4698612|0056757
0107004,Geronimo: An American Legend,1993,35.0,18.63562,115,5.9,44,4.653462,458,35588.0,Drama|Western,Walter Hill,11,0,11,N
0107076,Hard Target,1993,18.0,74.189677,97,6.1,237,7.834351,464,2019.0,Action|Adventure|Thriller,John Woo,43,7,50,5241578
0107144,Hot Shots! Part Deux,1993,25.0,133.752825,86,6.2,463,13.482371,466,9255.0,Action|Comedy,Jim Abrahams,34,50,84,0102059
0107206,In the Line of Fire,1993,40.0,176.9971679999,128,6.8,392,12.637158,474,9386.0,Action|Thriller,Wolfgang Petersen,97,4,101,N
0107207,In the Name of the Father,1993,13.0,65.796862,133,7.6,363,7.405895,475,7984.0,Drama,Jim Sheridan,30,1,31,N
0107290,Jurassic Park,1993,63.0,920.1,127,7.6,4956,8.863776,480,329.0,Action|Adventure|Sci-Fi|Thriller,Steven Spielberg,1772,15,1787,0119567|0163025|0369610|4881806|8041270
0107302,Kalifornia,1993,9.0,2.3952310000000003,117,6.5,209,8.4337,481,10909.0,Drama|Thriller,Dominic Sena,20,2,22,N
0110265,Killing Zoe,1993,1.5,0.41896100000000003,96,6.1,111,4.948569,482,507.0,Drama|Thriller,Roger Avary,14,9,23,N
0107362,Last Action Hero,1993,85.0,137.298489,130,6.1,725,9.434006,485,9593.0,Action|Adventure|Comedy|Fantasy,John McTiernan,139,81,220,N
0107507,Manhattan Murder Mystery,1993,13.5,11.285587999999999,104,7.1,169,8.939404,492,10440.0,Comedy,Woody Allen,18,12,30,N
0107554,Menace II Society,1993,3.5,27.900000000000002,97,7.2,179,5.260924,493,9516.0,Action|Drama,Albert Hughes,44,9,53,N
0116253,Executive Decision,1996,55.0,121.969216,133,5.8,261,13.106291,494,2320.0,Action|Adventure|Thriller,Stuart Baird,33,6,39,N
0107614,Mrs. Doubtfire,1993,25.0,441.286195,125,7.0,1638,11.16553,500,788.0,Comedy|Drama,Chris Columbus,313,33,346,0139872|0233422
0110657,The Next Karate Kid,1994,12.0,15.826984,107,4.8,202,9.9697,502,11231.0,Action,Christopher Cain,19,6,25,0087538|0091326|0097647
0110678,No Escape,1994,20.0,15.339999999999998,118,6.1,86,9.715187,504,10447.0,Action|Drama|Sci-Fi,Martin Campbell,12,4,16,N
0107808,A Perfect World,1993,30.0,135.130999,138,7.2,376,8.040589,507,9559.0,Drama|Thriller,Clint Eastwood,20,4,24,N
0107818,Philadelphia,1993,26.0,206.67844,125,7.6,1019,13.373006,508,9800.0,Drama,Jonathan Demme,165,5,170,N
0107822,The Piano,1993,7.0,116.7,121,7.1,290,7.436758,509,713.0,Drama,Jane Campion,109,1,110,N
0107840,Poetic Justice,1993,14.0,27.515786,109,6.9,47,6.972599,510,8291.0,Drama,John Singleton,32,5,37,N
0110955,The Ref,1994,11.0,11.439193,97,6.7,99,5.868677,514,10872.0,Comedy,Ted Demme,20,8,28,N
