imdb_id,title,year,budget,actual_budget,revenue,actual_revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
466909,The Omen,2006,25.0,34.5,119.19,164.48,110,5.3,287,5.670679,45662,806.0,Horror|Thriller,John Moore,21,2,23,0850327|0075005|0466909,0.0175788353839359,-0.0122294573393169
457510,Nacho Libre,2006,32.0,44.16,80.2,110.68,92,5.6,368,12.042646,45666,9353.0,Comedy,Jared Hess,36,1,37,0099789|0457510,0.0159175693292472,0.0178283910961946
410297,The Lake House,2006,40.0,55.2,114.83,158.47,99,6.5,689,12.589019,45668,2044.0,Drama|Fantasy,Alejandro Agresti,29,5,34,0282599|0410297,-0.0156874743045184,-0.0077983472562082
389860,Click,2006,82.5,113.85,237.68,328.0,107,6.0,2167,9.796552,45672,9339.0,Adventure|Comedy|Drama|Fantasy,Frank Coraci,60,28,88,0389860,-0.0126845316751807,0.0099581997739467
458352,The Devil Wears Prada,2006,35.0,48.3,326.55,450.64,109,7.0,3198,13.102384,45720,350.0,Comedy|Drama,David Frankel,175,5,180,1639822|0458352,-0.0211600151666242,0.0042881416871367
383574,Pirates of the Caribbean: Dead Man's Chest,2006,200.0,276.0,1065.66,1470.61,151,7.0,5380,29.455314,45722,58.0,Action|Adventure|Fantasy,Gore Verbinski,159,24,183,0449088|1298650|2092452|1790809|1790810|0325980|0383574,0.0047442456298259,-0.0185852643871032
463034,"You, Me and Dupree",2006,54.0,74.52,130.43,179.99,108,5.4,421,8.570085,45726,1819.0,Comedy,Anthony Russo,21,12,33,1578116|0463034,0.0225206374184966,0.0072466768110742
424345,Clerks II,2006,5.0,6.9,26.89,37.11,97,6.9,407,8.466725,45728,2295.0,Comedy,Kevin Smith,47,40,87,6521876|0109445|0113749|0118842|0120655|0210413|0261392|0433537|0424345,0.0129068466201207,0.0177767592665503
452637,Lady in the Water,2006,75.0,103.5,42.29,58.36,110,5.3,415,8.704554,45730,9697.0,Drama|Fantasy,M. Night Shyamalan,60,3,63,0452637,-0.0158494356176267,-0.0083190144915099
422720,Marie Antoinette,2006,40.0,55.2,60.47,83.45,123,6.5,662,8.852557,45880,1887.0,Drama,Sofia Coppola,27,3,30,0422720,0.0177880200806758,0.0094856064273187
